"Sede","Asistencia.total","Media.de.asistencia.por.partido","Cantidad.partidos","año"
"Rusia 2018",3031768,47371,64,2018
"Brasil 2014",3441450,53772,64,2014
"Sudáfrica 2010",3167984,49499,64,2010
"Alemania 2006",3367000,52609,64,2006
"Japón / Corea del Sur 2002",2724604,42571,64,2002
"Francia 1998",2859234,44676,64,1998
"EE. UU. 1994",3568567,68626,52,1994
"Italia 1990",2527348,48411,52,1990
"México 1986",2407431,46297,52,1986
"España 1982",1856277,35698,52,1982
"Argentina 1978",1610215,42374,38,1978
"Alemania 1974",1774022,46685,38,1974
"México 1970",1673975,52312,32,1970
"Inglaterra 1966",1614677,50459,32,1966
"Chile 1962",776000,24250,32,1962
"Suecia 1958",868000,24800,35,1958
"Suiza 1954",943000,36269,26,1954
"Brasil 1950",1337000,60773,22,1950
"Francia 1938",483000,26833,18,1938
"Italia 1934",395000,23235,17,1934
"Uruguay 1930",434500,24139,18,1930
